SECONDARY SCIENCE CHEMICAL INVENTORY APPROVED CHEMICALS - ALL,,,,,,,,,,,,,,,,,,,,,
SCHOOL NAME:,,,,,,,,,,,,,,,,,,,,,
COMPLETED BY:,,ItemStatus,Company,Catalog,MSDS,Units,Storage Area,Room #,,Cells with a red triangle in the upper right-hand corner contain comments. Click or hover over the cell to see the comment.,,,,,,,,,,,
DATE COMPLETED:,Sat May 14 2016 at 06:17 PM
Name,ListType,ItemType,Department,Amount,Remind,Notes,,,,,,,,,,,,,,,
APPROVED CHEMICALS,,,,,,,Will be removed,,,STORAGE LOCATION #1,,,,STORAGE LOCATION #2,,,,,OPTIONAL ,,
Chemical Name,School Name,Common Names,Storage Area,Anion,Cation,MSDS FILE #,WHMIS Class,CAS #,Storage Area (from Approved List),Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Request Disposal? (Y or N),Grade,Rationale,Supplier
Name,ItemType,ShopList,Department,Amount,Remind,Notes,Status,Company,Cat#,MSDS,Units,Storage,Room,Date,,,,,,,
barium oxide  anhydrous  ,Consumable,No,General,0,60,Notes,Ok,Unknown,1304-28-5,#401 Discontinued / Archived,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
barium sulfate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,7727-43-7,#541,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
benedict's solution  ,Consumable,No,General,500,60,Notes,Ok,Unknown,Unknown,#351,1,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
benzoic acid  ,Consumable,No,General,50,60,Notes,Ok,Unknown,65-85-0,#419,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
beta amylase barley  ,Consumable,No,General,0,60,Notes,Ok,Unknown,9000-91-3,#722,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
bismuth nitrate  ,Consumable,No,General,20,60,Notes,Ok,Unknown,10361-44-1,#312,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
biuret solution  ,Consumable,No,General,25,60,Notes,Ok,Unknown,108-19-0,#418,1,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
boric acid  ,Consumable,No,General,500,60,Notes,Ok,Unknown,10043-35-3,#733,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
bromocresol green  ,Consumable,No,General,400,60,Notes,Ok,Unknown,76-60-8,Approved List - No MSDS online,1,Indicators Cupboard,1044B,Thu Apr 14 2016 at 12:42 PM
bromophenol blue  ,Consumable,No,General,0,60,Notes,Ok,Unknown,115-39-9,Approved List - No MSDS online,0,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
